,"données brutes de fichier de digit de branche fuji36, branche + arbre fuji 42 et branche fuji 48 réarrangées",,,,,,,,,,,,,,,L*l*coef allométrie 2001/10,
#,X,Y,Z,A,B,C,code rameau,type rameau,Long rameau(mm),Long rameau(cm),Nbr feuille,L feuille(mm),largeur feuille,N° fruit,L digitalisée,Surf foliaire(cm²),somme surf foliaire rameau
1,98.7,52.66,-171.86,27.88,22.83,51.86,,,, ,L2,17,14,,,1.754298,
1,98.58,52.71,-171.99,27.39,23.3,51.4,,,, ,L3,28,23,,,4.746924,
1,100.1,53.71,-172.41,-172.22,-55.23,-85.81,,,, ,L4,10,8,,,0.58968,
1,100.32,54.22,-172.15,-161.72,-24.64,-81.12,,,, ,L5,10,6,,,0.44226,
1,98.56,52.89,-166.1,6.88,-6.78,12.54,F36IF11,IF,6,0.60,6,,,16,0.65,,28.857465
1,98.2,52.9,-165.56,7.79,-9.79,12.57,,,, ,,,,, ,,
1,98.01,54.57,-166.64,-38.96,-40.89,152.96,,,, ,L1,38,29,,,8.122842,
1,96.88,52.59,-166.93,-69.45,-22.08,-50.97,,,, ,L2,22,17,,,2.756754,
1,97.54,52.09,-167.23,49.17,-38.79,64.39,,,, ,L3,37,29,,,7.909083,
1,99.58,52.97,-166.37,-63.6,-6.96,77.4,,,, ,L4,16,12,,,1.415232,
1,99.99,54.36,-166.57,-125,-63.49,175.38,,,, ,L5,40,28,,,8.25552,
1,98.54,53.97,-165.99,-124.03,5.71,-56.1,,,, ,L6,9,6,,,0.398034,
1,98.83,52.64,-165.51,-74.06,23.74,-4.07,F36PL3,PL,132,13.20,8,,,,13.16,,214.636149
1,97.92,60.53,-155.02,-82.33,19.3,-16.14,,,, ,,,,, ,,
1,99.14,55.23,-163.15,-146.65,61.32,-71.12,,,, ,L1,82,47,,,28.407834,
